epoch,epoch,time,learning_rate,total,data,pde,bc,val_mse,val_rel_l2,val_pde
0,0,0.6422934532165527,0.001,0.020152687448365934,0.020152687448365934,0.0,0.0,0.00038249752469710074,5.393120050430298,0.0
1,1,0.8494284152984619,0.001,0.009313678946988336,0.009313678946988336,0.0,0.0,0.00010447189015394542,2.6084519028663635,0.0
2,2,1.0124363899230957,0.001,0.006992991210828568,0.006992991210828568,0.0,0.0,9.620720811653882e-05,4.727783024311066,0.0
3,3,1.1521217823028564,0.001,0.006408316741601147,0.006408316741601147,0.0,0.0,6.666201170446584e-05,2.2106915414333344,0.0
4,4,1.302206039428711,0.001,0.00556532419607814,0.00556532419607814,0.0,0.0,6.451605986512732e-05,3.7049487829208374,0.0
5,5,1.4420247077941895,0.001,0.004797325557868542,0.004797325557868542,0.0,0.0,3.696813109854702e-05,2.2248200178146362,0.0
6,6,1.6134638786315918,0.001,0.003830369658254344,0.003830369658254344,0.0,0.0,4.27075592597248e-05,2.9634622633457184,0.0
7,7,1.7770931720733643,0.001,0.004215347243408705,0.004215347243408705,0.0,0.0,2.621325802465435e-05,2.5034012347459793,0.0
8,8,1.9448456764221191,0.001,0.003215159048679574,0.003215159048679574,0.0,0.0,1.7629901094551315e-05,1.8570702821016312,0.0
9,9,2.1518187522888184,0.001,0.0028517198917488084,0.0028517198917488084,0.0,0.0,2.2089540607339586e-05,2.4805904924869537,0.0
10,10,2.333146095275879,0.001,0.0028957285565035097,0.0028957285565035097,0.0,0.0,1.1382695902284468e-05,1.2546278089284897,0.0
11,11,2.5646896362304688,0.001,0.002487659382087917,0.002487659382087917,0.0,0.0,9.470076975048869e-06,1.5130993574857712,0.0
12,12,2.710158586502075,0.001,0.0021605394893036835,0.0021605394893036835,0.0,0.0,8.149846394189808e-06,1.417011946439743,0.0
13,13,2.823044538497925,0.001,0.0018733646399502096,0.0018733646399502096,0.0,0.0,7.952669875521678e-06,1.8647608906030655,0.0
14,14,2.949141263961792,0.001,0.0017577266151984703,0.0017577266151984703,0.0,0.0,1.1264108024988673e-05,2.8754773139953613,0.0
15,15,3.1083695888519287,0.001,0.002120101912717881,0.002120101912717881,0.0,0.0,5.936073534940078e-06,0.9810753092169762,0.0
16,16,3.2506186962127686,0.001,0.0017286152779606395,0.0017286152779606395,0.0,0.0,7.868038665037602e-06,1.5997540801763535,0.0
17,17,3.425462007522583,0.001,0.0017904276871282992,0.0017904276871282992,0.0,0.0,1.0636854995027534e-05,1.7931361943483353,0.0
18,18,3.611285924911499,0.001,0.0018358808291819074,0.0018358808291819074,0.0,0.0,8.245486583291495e-06,2.0407904386520386,0.0
19,19,3.8145830631256104,0.0005,0.0016541970805425581,0.0016541970805425581,0.0,0.0,1.1116179166492657e-05,2.4880293011665344,0.0
