epoch,epoch,time,learning_rate,total,data,pde,bc,val_mse,val_rel_l2,val_pde
0,0,1.9780123233795166,0.001,0.07999070286750794,0.07893327822287878,0.001051232473885951,6.194260974249725e-06,0.008602047804743052,0.4872945696115494,"tensor(2.5361, device='cuda:0')"
1,1,3.5744333267211914,0.001,0.06656952599684397,0.06469620491067568,0.0018690234088959794,4.296222315739821e-06,0.005004047648981214,0.3495749980211258,"tensor(50.6571, device='cuda:0')"
2,2,5.156142711639404,0.001,0.05428287560741107,0.048896740873654684,0.005385152685145537,9.816332484054632e-07,0.0039619168965145946,0.2936353087425232,"tensor(57.9196, device='cuda:0')"
3,3,6.742469549179077,0.001,0.042588220660885176,0.03674310619632403,0.005844618255893389,4.963844105532189e-07,0.004450921900570393,0.2441726252436638,"tensor(53.3942, device='cuda:0')"
4,4,8.330949306488037,0.001,0.038695903743306795,0.03362507795294126,0.005070551624521613,2.7399894785655003e-07,0.0035479028010740876,0.2307261899113655,"tensor(45.7978, device='cuda:0')"
5,5,9.92597222328186,0.001,0.03629289592305819,0.031910873204469684,0.004381818821032842,2.039360225580822e-07,0.0034201558446511626,0.22529907524585724,"tensor(40.8081, device='cuda:0')"
6,6,11.529541730880737,0.001,0.03631191489597162,0.03230987588564555,0.004001856502145529,1.8263676887878925e-07,0.003699098713696003,0.2231069803237915,"tensor(35.0897, device='cuda:0')"
7,7,13.130715131759644,0.001,0.038090326637029645,0.034328900774319965,0.003761200218771895,2.2591354517468669e-07,0.002972945454530418,0.22648213803768158,"tensor(45.5578, device='cuda:0')"
8,8,14.715677499771118,0.001,0.03400051270922025,0.030281540751457215,0.0037188049405813216,1.674390295155111e-07,0.0034152911975979805,0.217851459980011,"tensor(33.9741, device='cuda:0')"
9,9,16.33271837234497,0.001,0.0337142380575339,0.030153636634349824,0.0035604208707809447,1.8029745376679785e-07,0.003090567421168089,0.20608685165643692,"tensor(36.3533, device='cuda:0')"
10,10,17.955411434173584,0.001,0.03366996521751086,0.029891702036062878,0.003778104390949011,1.5838031733513465e-07,0.0025672679767012596,0.22068040817975998,"tensor(44.8747, device='cuda:0')"
11,11,19.612425565719604,0.001,0.03357842676341534,0.02972336784005165,0.003854876710101962,1.8181009124873527e-07,0.0023568773176521063,0.20207469165325165,"tensor(37.1579, device='cuda:0')"
12,12,22.19767165184021,0.001,0.02992755187054475,0.02605192152162393,0.003875457774847746,1.7269850474121995e-07,0.002672961330972612,0.18841621279716492,"tensor(38.4008, device='cuda:0')"
13,13,23.82748818397522,0.001,0.028696006971100967,0.024746710434556007,0.00394914251131316,1.541982849554794e-07,0.0021355574135668576,0.17163647711277008,"tensor(39.1630, device='cuda:0')"
14,14,25.469130992889404,0.001,0.02824364093442758,0.024129134913285572,0.004114349093288183,1.5726056024808106e-07,0.0020055421628057957,0.2331300601363182,"tensor(56.9809, device='cuda:0')"
15,15,27.0881667137146,0.001,0.028662377720077833,0.024071002627412477,0.004591182433068752,1.929270633619732e-07,0.00200834299903363,0.1718568652868271,"tensor(42.5371, device='cuda:0')"
16,16,28.666125059127808,0.001,0.026921620965003966,0.022485870122909545,0.00443558127929767,1.6961963353878672e-07,0.0016485022497363389,0.15799779444932938,"tensor(38.4352, device='cuda:0')"
17,17,30.276235342025757,0.001,0.026678666224082312,0.02245934245487054,0.004219149022052685,1.7512018028279877e-07,0.0015330793103203177,0.1535690575838089,"tensor(46.1499, device='cuda:0')"
18,18,31.905500888824463,0.001,0.025912313163280486,0.02170627104739348,0.004205881788705786,1.5989952638998754e-07,0.001398098305799067,0.1841403767466545,"tensor(56.8726, device='cuda:0')"
19,19,33.51814126968384,0.001,0.026148602738976477,0.021751751999060313,0.004396691840762894,1.588055634253275e-07,0.0011877291835844517,0.15326397120952606,"tensor(44.9835, device='cuda:0')"
20,20,35.18824076652527,0.001,0.023872919008135797,0.019733398345609506,0.004139348554114501,1.7184942559348809e-07,0.001074657659046352,0.14329951256513596,"tensor(39.5148, device='cuda:0')"
21,21,36.90457320213318,0.001,0.022805743416150413,0.019132170329491296,0.0036734167020767926,1.563051990653245e-07,0.0010874677100218832,0.15764403343200684,"tensor(39.7288, device='cuda:0')"
22,22,38.560943603515625,0.001,0.021593145467340945,0.01809583542247613,0.0034971680647383134,1.421431501095564e-07,0.0014618014683946967,0.15238434076309204,"tensor(31.3276, device='cuda:0')"
23,23,40.25379657745361,0.001,0.02179654917369286,0.01835513443996509,0.0034412757803996405,1.3916906974979307e-07,0.001150738971773535,0.1295195296406746,"tensor(32.8592, device='cuda:0')"
24,24,41.93284893035889,0.001,0.020799617655575274,0.01747646350413561,0.0033230161604781944,1.3800027858223985e-07,0.0008781335782259703,0.12009208649396896,"tensor(33.7656, device='cuda:0')"
25,25,43.538954734802246,0.001,0.01997899686296781,0.016629498017330966,0.003349360901241501,1.3820383865474165e-07,0.0009827679896261543,0.12312527373433113,"tensor(33.7266, device='cuda:0')"
26,26,45.062018632888794,0.001,0.02058624823888143,0.017127648989359538,0.003458468709141016,1.305327828049485e-07,0.000716842245310545,0.11359945312142372,"tensor(36.0733, device='cuda:0')"
27,27,46.602813959121704,0.001,0.019092608864108723,0.015524256850282352,0.0035682149852315583,1.36775590912445e-07,0.0006439621502067894,0.10756023600697517,"tensor(36.7372, device='cuda:0')"
28,28,48.15717148780823,0.001,0.020620786026120184,0.0169845562428236,0.003636093623936176,1.3596476596452098e-07,0.0007295801478903741,0.11109035462141037,"tensor(38.5231, device='cuda:0')"
29,29,49.6829719543457,0.001,0.0184455219656229,0.014749906460444133,0.0036954879915962616,1.272792199339771e-07,0.0008753434231039137,0.16206073015928268,"tensor(45.9912, device='cuda:0')"
30,30,51.29568600654602,0.001,0.01871556726594766,0.015183131520946821,0.003532296745106578,1.3850918018457984e-07,0.000515104504302144,0.09908940270543098,"tensor(34.9487, device='cuda:0')"
31,31,52.92314672470093,0.001,0.01585700319459041,0.01245574609686931,0.0034011331386864184,1.2410123891489397e-07,0.0007583624683320522,0.11202571541070938,"tensor(33.7644, device='cuda:0')"
32,32,54.56045174598694,0.001,0.018287346884608268,0.014912197800974051,0.0033750186674296858,1.3000978024516978e-07,0.00045367419079411775,0.09495575726032257,"tensor(35.3098, device='cuda:0')"
33,33,56.25154256820679,0.001,0.015677653128902118,0.012243485761185486,0.0034340462647378446,1.2154147034001046e-07,0.0004923872329527512,0.091007050126791,"tensor(37.3476, device='cuda:0')"
34,34,57.92955780029297,0.001,0.01573408761372169,0.01222415001442035,0.003509817769130071,1.1987041309187892e-07,0.0013005546061322093,0.1581975445151329,"tensor(29.1260, device='cuda:0')"
35,35,59.53026294708252,0.001,0.023256440957387287,0.019633610422412556,0.003622653552641471,1.7694551672775561e-07,0.0005532417562790215,0.1129089891910553,"tensor(37.9136, device='cuda:0')"
36,36,61.04641652107239,0.001,0.017103924912710986,0.013695846901585658,0.003407953369120757,1.2472315944478395e-07,0.0004443398502189666,0.09150230512022972,"tensor(32.3051, device='cuda:0')"
37,37,62.57213091850281,0.001,0.014836270858844121,0.011522530453900497,0.0033136174703637757,1.2316031596052806e-07,0.0003229990543331951,0.0834239162504673,"tensor(38.0826, device='cuda:0')"
38,38,64.09072732925415,0.001,0.015244858463605244,0.011884621468683083,0.003360118546212713,1.1850970764726298e-07,0.000375684117898345,0.0809718705713749,"tensor(34.2826, device='cuda:0')"
39,39,65.60239624977112,0.001,0.014088429448505243,0.010575659262637297,0.003512648353353143,1.2194479950267124e-07,0.0002610042138257995,0.07778800651431084,"tensor(38.6412, device='cuda:0')"
40,40,67.18663167953491,0.001,0.014079787209630013,0.010755610714356104,0.0033240652022262416,1.1120118822797546e-07,0.0002654462732607499,0.08037633076310158,"tensor(37.1563, device='cuda:0')"
41,41,68.83740615844727,0.001,0.01506195707867543,0.011812624956170718,0.0032492142636328936,1.1772321334054444e-07,0.0002510807535145432,0.07594595104455948,"tensor(36.4276, device='cuda:0')"
42,42,70.52159929275513,0.001,0.013522477944691975,0.010358450065056483,0.0031639138391862313,1.1397897357786254e-07,0.0007010483532212675,0.11831624060869217,"tensor(29.7363, device='cuda:0')"
43,43,72.16404891014099,0.001,0.01726744386057059,0.014138212613761424,0.003129106294363737,1.2499192270828037e-07,0.000408487903769128,0.08940321952104568,"tensor(30.3456, device='cuda:0')"
44,44,73.78709578514099,0.001,0.015113962069153785,0.012093133199959994,0.0030207132920622827,1.1540560791445387e-07,0.00034913429408334196,0.09441206231713295,"tensor(36.8886, device='cuda:0')"
45,45,75.39984631538391,0.001,0.013224187617500624,0.010305962587396304,0.002918110586081942,1.1427711399392138e-07,0.0002660294558154419,0.08266289532184601,"tensor(34.1358, device='cuda:0')"
46,46,76.9950954914093,0.001,0.012566581989328066,0.009628890392680963,0.002937582709516088,1.0895438293800907e-07,0.00019653430354082957,0.06754836067557335,"tensor(33.0457, device='cuda:0')"
47,47,78.61759805679321,0.001,0.011150507318476836,0.008336362739404043,0.0028140395414084198,1.0497191738068068e-07,0.0002776927867671475,0.09030832350254059,"tensor(36.1887, device='cuda:0')"
48,48,80.21421146392822,0.001,0.012854323536157609,0.00987770656744639,0.0029765049771716197,1.122092408915402e-07,0.00021507107885554433,0.07144179940223694,"tensor(33.6758, device='cuda:0')"
49,49,81.81952929496765,0.001,0.012563844087223212,0.009450623051573832,0.0031131110619753597,1.0986318557115738e-07,0.00022454571444541216,0.07765065133571625,"tensor(37.4252, device='cuda:0')"
50,50,83.41588425636292,0.001,0.012703456978003184,0.00937745589762926,0.0033258852548897267,1.1566294754553988e-07,0.0001715152247925289,0.06345346942543983,"tensor(36.0993, device='cuda:0')"
51,51,85.02341914176941,0.001,0.010950237574676672,0.00779594670360287,0.0031541831946621337,1.0762359323734926e-07,0.00016218056407524273,0.06105338782072067,"tensor(33.5942, device='cuda:0')"
52,52,87.36035084724426,0.001,0.010541091859340667,0.007569043152034283,0.002971940115094185,1.0872196440914194e-07,0.00019527956465026364,0.06407367624342442,"tensor(31.5108, device='cuda:0')"
53,53,88.96730184555054,0.001,0.010791936268409094,0.007983284133176009,0.002808550077800949,1.0198082236456685e-07,0.0002249394528917037,0.06600558757781982,"tensor(28.9552, device='cuda:0')"
54,54,90.5871901512146,0.001,0.01357729323208332,0.010894994003077347,0.002682196938743194,1.0243061083770044e-07,0.00025275221560150385,0.0875975601375103,"tensor(31.8777, device='cuda:0')"
